district,month,t2m,tp,u10,v10,fire_count,fire_label
Alappuzha,2024-01,,,,,0.0,0
Alappuzha,2024-02,,,,,0.0,0
Alappuzha,2024-03,,,,,0.0,0
Alappuzha,2024-04,,,,,0.0,0
Alappuzha,2024-05,,,,,0.0,0
Alappuzha,2024-06,,,,,0.0,0
Alappuzha,2024-07,,,,,0.0,0
Alappuzha,2024-08,,,,,0.0,0
Alappuzha,2024-09,,,,,0.0,0
Alappuzha,2024-10,,,,,0.0,0
Alappuzha,2024-11,,,,,0.0,0
Alappuzha,2024-12,,,,,0.0,0
Ernakulam,2024-01,,,,,0.0,0
Ernakulam,2024-02,,,,,0.0,0
Ernakulam,2024-03,,,,,0.0,0
Ernakulam,2024-04,,,,,0.0,0
Ernakulam,2024-05,,,,,0.0,0
Ernakulam,2024-06,,,,,0.0,0
Ernakulam,2024-07,,,,,0.0,0
Ernakulam,2024-08,,,,,0.0,0
Ernakulam,2024-09,,,,,0.0,0
Ernakulam,2024-10,,,,,0.0,0
Ernakulam,2024-11,,,,,0.0,0
Ernakulam,2024-12,,,,,0.0,0
Idukki,2024-01,291.7648301235465,0.0033877755320349,-1.1144306271575215,-0.238646529441656,31.0,1
Idukki,2024-02,291.91460755813955,0.0006725108034388,-1.0267880461936774,-0.3165139930192814,29.0,1
Idukki,2024-03,293.29405886627904,0.0009398593805557,-0.6326021593670512,-0.2215840982836346,31.0,1
Idukki,2024-04,294.64998183139534,0.0034080639828083,-0.3172109515167946,-0.1991880549940952,30.0,1
Idukki,2024-05,294.4133811773256,0.0262694719225861,0.0894891827605491,0.0730467508005541,31.0,1
Idukki,2024-06,293.5961573401163,0.0169934907624887,0.7315179248188817,0.1539032958274664,30.0,1
Idukki,2024-07,293.24096111918607,0.0174506888833156,1.0571739729060683,-0.119284008824548,31.0,1
Idukki,2024-08,293.0735147165698,0.0102473996406377,0.4229664469874182,-0.0388713881026866,31.0,1
Idukki,2024-09,292.55087209302326,0.0061212764229885,0.4637189022330351,-0.1291191633357558,30.0,1
